233,"SIDI EL HANI",NULL,15
234,"SOUSSE JAOUHARA",NULL,15
235,"SOUSSE MEDINA",NULL,15
236,"SOUSSE RIADH",NULL,15
237,"ZAOUIA-KSIBET-THRAYETTE",NULL,15
238,"BENI MHIRA",NULL,24
239,"BIR LAHMAR",NULL,24
240,"DHEHIBA",NULL,24
241,"ESSMAR",NULL,24
242,"GHOMRASSEN",NULL,24
243,"REMADA",NULL,24
244,"TATAOUINE NORD",NULL,24
245,"TATAOUINE SUD",NULL,24
246,"DEGUECHE",NULL,20
247,"HAZOUA",NULL,20
248,"NEFTA",NULL,20
249,"TAMAGHZA",NULL,20
250,"TOZEUR",NULL,20
251,"BAB BHAR",NULL,1
252,"BAB SOUIKA",NULL,1
253,"BARDO",NULL,1
254,"CARTHAGE",NULL,1
255,"CITE EL KHADRA",NULL,1
256,"EL HRAIRIA",NULL,1
257,"EL KRAM",NULL,1
258,"EL MEDINA",NULL,1
259,"EL MENZAH",NULL,1
260,"EL OMRANE",NULL,1
261,"EL OUARDIA",NULL,1
262,"EZZOUHOUR",NULL,1
263,"JEBEL JELOUD",NULL,1
264,"KABARIA",NULL,1
265,"LA GOULETTE",NULL,1
266,"LA MARSA",NULL,1
267,"OMRANE SUPERIEUR",NULL,1
268,"SIDI EL BECHIR",NULL,1
269,"SIDI HASSINE",NULL,1
270,"SIJOUMI",NULL,1
271,"TAHRIR",NULL,1
272,"BIR MECHARGA",NULL,6
273,"EL FAHS",NULL,6
274,NADHOUR",NULL,6
275,SAOUAF",NULL,6
276,ZAGHOUAN",NULL,6
277,ZRIBA",NULL,6
